iter	Passed	Remaining
0	10	198
1	19	178
2	29	165
3	38	155
4	48	146
5	58	135
6	67	125
7	74	111
8	83	101
9	92	92
10	102	83
11	111	74
12	120	64
13	130	56
14	140	46
15	147	36
16	156	27
17	165	18
18	175	9
19	184	0
