iter	Passed	Remaining
0	4	90
1	9	86
2	13	78
3	18	74
4	23	71
5	28	67
6	33	62
7	36	55
8	40	49
9	45	45
10	50	41
11	54	36
12	58	31
13	63	27
14	68	22
15	73	18
16	78	13
17	83	9
18	87	4
19	90	0
